[2021-10-13 19:47:23.670129]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.672128]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.672674]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.674651]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.676189]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.677173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.678171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.679175]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.680171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.682171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.683171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.684171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.685172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.686172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.687170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.688171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.689170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.691172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.692171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.693169]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.694172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.695171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
